id_number,sentence,item,condition,voice,frequency_syn,synonym,judgment,len
35,36,Il necroforo è stato organizzato dal servizio funebre.,i,AI,passive,low,h_i_low,impossible,8
36,37,Il supervisore ha fornito il liquore.,j,AI,active,high,j_k_high,possible,6
37,38,Il liquore ha fornito il supervisore.,j,AI,active,high,j_k_high,impossible,6
38,39,Il liquore è stato fornito dal supervisore.,j,AI,passive,high,j_k_high,possible,7
39,40,Il supervisore è stato fornito dal liquore.,j,AI,passive,high,j_k_high,impossible,7
40,41,Il sovrintendente ha procurato l’alcol.,k,AI,active,low,j_k_low,possible,5
41,42,L’alcol ha procurato il sovrintendente.,k,AI,active,low,j_k_low,impossible,5
42,43,L’alcol è stato procurato dal sovrintendente.,k,AI,passive,low,j_k_low,possible,6
43,44,Il sovrintendente è stato procurato dall’alcol.,k,AI,passive,low,j_k_low,impossible,6
44,45,Il teppista ha distrutto l’auto.,l,AI,active,high,l_m_high,possible,5
45,46,L’auto ha distrutto il teppista.,l,AI,active,high,l_m_high,impossible,5
46,47,L’auto è stata distrutta dal teppista.,l,AI,passive,high,l_m_high,possible,6
47,48,Il teppista è stato distrutto dall’auto.,l,AI,passive,high,l_m_high,impossible,6
48,49,Il piantagrane ha disintegrato il veicolo.,m,AI,active,low,l_m_low,possible,6
49,50,Il veicolo ha disintegrato il piantagrane.,m,AI,active,low,l_m_low,impossible,6
50,51,Il veicolo è stato disintegrato dal piantagrane.,m,AI,passive,low,l_m_low,possible,7
51,52,Il piantagrane è stato disintegrato dal veicolo.,m,AI,passive,low,l_m_low,impossible,7
52,53,Il tecnico ha aggiustato il rubinetto.,n,AI,active,high,n_o_high,possible,6
53,54,Il rubinetto ha aggiustato il tecnico.,n,AI,active,high,n_o_high,impossible,6
54,55,Il rubinetto è stato aggiustato dal tecnico.,n,AI,passive,high,n_o_high,possible,7
55,56,Il tecnico è stato aggiustato dal rubinetto.,n,AI,passive,high,n_o_high,impossible,7
56,57,Il tuttofare ha riparato il rubinetto.,o,AI,active,low,n_o_low,possible,6
57,58,Il rubinetto ha riparato il tuttofare.,o,AI,active,low,n_o_low,impossible,6
58,59,Il rubinetto è stato riparato dal tuttofare.,o,AI,passive,low,n_o_low,possible,7
59,60,Il tuttofare è stato riparato dal rubinetto.,o,AI,passive,low,n_o_low,impossible,7
60,61,La segretaria ha organizzato la scrivania.,p,AI,active,high,p_q_high,possible,6
61,62,La scrivania ha organizzato la segretaria.,p,AI,active,high,p_q_high,impossible,6
62,63,La scrivania è stata organizzata dalla segretaria.,p,AI,passive,high,p_q_high,possible,7
63,64,La segretaria è stata organizzata dalla scrivania.,p,AI,passive,high,p_q_high,impossible,7
64,65,La receptionist ha riordinato la postazione.,q,AI,active,low,p_q_low,possible,6
65,66,La postazione ha riordinato la receptionist.,q,AI,active,low,p_q_low,impossible,6
66,67,La postazione è stata riordinata dalla receptionist.,q,AI,passive,low,p_q_low,possible,7
67,68,La receptionist è stata riordinata dalla postazione.,q,AI,passive,low,p_q_low,impossible,7
68,69,Il pilota ha guidato l’aereo.,r,AI,active,high,r_s_high,possible,5
69,70,L’aereo ha guidato il pilota.,r,AI,active,high,r_s_high,impossible,5
70,71,L’aereo è stato guidato dal pilota.,r,AI,passive,high,r_s_high,possible,6
71,72,Il pilota è stato guidato dall’aereo.,r,AI,passive,high,r_s_high,impossible,6
72,73,L’aviatore ha manovrato il jet.,s,AI,active,low,r_s_low,possible,5
73,74,Il jet ha manovrato l’aviatore.,s,AI,active,low,r_s_low,impossible,5
74,75,Il jet è stato manovrato dall’aviatore.,s,AI,passive,low,r_s_low,possible,6
75,76,L’aviatore è stato manovrato dal jet.,s,AI,passive,low,r_s_low,impossible,6
76,77,Lo chef ha saltato il calamaro.,t,AI,active,high,t_u_high,possible,6
77,78,Il calamaro ha saltato lo chef.,t,AI,active,high,t_u_high,impossible,6
78,79,Il calamaro è stato saltato dallo chef.,t,AI,passive,high,t_u_high,possible,7
79,80,Lo chef è stato saltato dal calamaro.,t,AI,passive,high,t_u_high,impossible,7
80,81,Il cuoco ha grigliato il polpo.,u,AI,active,low,t_u_low,possible,6
81,82,Il polpo ha grigliato il cuoco.,u,AI,active,low,t_u_low,impossible,6
82,83,Il polpo è stato grigliato dal cuoco.,u,AI,passive,low,t_u_low,possible,7
83,84,Il cuoco è stato grigliato dal polpo.,u,AI,passive,low,t_u_low,impossible,7
84,85,Il capitano ha promesso la vittoria.,v,AI,active,high,v_w_high,possible,6
85,86,La vittoria ha promesso il capitano.,v,AI,active,high,v_w_high,impossible,6
86,87,La vittoria è stato promessa dal capitano.,v,AI,passive,high,v_w_high,possible,7
87,88,Il capitano è stato promesso dalla vittoria.,v,AI,passive,high,v_w_high,impossible,7
88,89,Il comandante ha garantito il trionfo.,w,AI,active,low,v_w_low,possible,6
89,90,Il trionfo ha garantito il comandante.,w,AI,active,low,v_w_low,impossible,6
90,91,Il trionfo è stato garantito dal comandante.,w,AI,passive,low,v_w_low,possible,7
91,92,Il comandante è stato garantito dal trionfo.,w,AI,passive,low,v_w_low,impossible,7
92,93,Il cappellaio ha adornato il fedora.,x,AI,active,low,x_y_low,possible,6
93,94,Il fedora ha adornato il cappellaio.,x,AI,active,low,x_y_low,impossible,6
94,95,Il fedora è stato adornato dal cappellaio.,x,AI,passive,low,x_y_low,possible,7
95,96,Il cappellaio è stato adornato dal fedora.,x,AI,passive,low,x_y_low,impossible,7
96,97,Il cappellaio ha decorato la bombetta.,y,AI,active,high,x_y_high,possible,6
97,98,La bombetta ha decorato il cappellaio.,y,AI,active,high,x_y_high,impossible,6
98,99,La bombetta è stata decorata dal cappellaio.,y,AI,passive,high,x_y_high,possible,7
99,100,Il cappellaio è stato decorato dalla bombetta.,y,AI,passive,high,x_y_high,impossible,7
100,101,Il militare ha issato lo stendardo.,z,AI,active,low,z_aa_low,possible,6
101,102,Lo stendardo ha issato il militare.,z,AI,active,low,z_aa_low,impossible,6
102,103,Lo stendardo è stato issato dal militare.,z,AI,passive,low,z_aa_low,possible,7
103,104,Il militare è stato issato dallo stendardo.,z,AI,passive,low,z_aa_low,impossible,7
104,105,Il soldato ha alzato la bandiera.,aa,AI,active,high,z_aa_high,possible,6
105,106,La bandiera ha alzato il soldato.,aa,AI,active,high,z_aa_high,impossible,6
106,107,La bandiera è stata alzata dal soldato.,aa,AI,passive,high,z_aa_high,possible,7
107,108,Il soldato è stato alzato dalla bandiera.,aa,AI,passive,high,z_aa_high,impossible,7
108,109,L’agente ha fallito la missione.,ab,AI,active,high,ab_ac_high,possible,5
109,110,La missione ha fallito l’agente.,ab,AI,active,high,ab_ac_high,impossible,5
110,111,La missione è stata fallita dall’agente.,ab,AI,passive,high,ab_ac_high,possible,6
111,112,L’agente è stato fallito dalla missione.,ab,AI,passive,high,ab_ac_high,impossible,6
112,113,L’operativo ha mandato a monte l’incarico.,ac,AI,active,low,ab_ac_low,possible,6
113,114,L’incarico ha mandato a monte l’operativo.,ac,AI,active,low,ab_ac_low,impossible,6
114,115,L’incarico è stato mandato a monte dall’operativo.,ac,AI,passive,low,ab_ac_low,possible,7
115,116,L’operativo è stato mandato a monte dall’incarico.,ac,AI,passive,low,ab_ac_low,impossible,7
116,117,Il conduttore ha storpiato l’espressione.,ad,AI,active,low,ad_ae_low,possible,5
117,118,L’espressione ha storpiato il conduttore.,ad,AI,active,low,ad_ae_low,impossible,5
118,119,L’espressione è stata storpiata dal conduttore.,ad,AI,passive,low,ad_ae_low,possible,6
119,120,Il conduttore è stato storpiato dall’espressione.,ad,AI,passive,low,ad_ae_low,impossible,6
120,121,L’annunciatore ha pronunciato male la parola.,ae,AI,active,high,ad_ae_high,possible,6
121,122,La parola ha pronunciato male l’annunciatore.,ae,AI,active,high,ad_ae_high,impossible,6
122,123,La parola è stata pronunciata male dall’annunciatore.,ae,AI,passive,high,ad_ae_high,possible,7
123,124,L’annunciatore è stato pronunciato male dalla parola.,ae,AI,passive,high,ad_ae_high,impossible,7
124,125,L’autore ha terminato il romanzo.,af,AI,active,low,af_ag_low,possible,5
125,126,Il romanzo ha terminato l’autore.,af,AI,active,low,af_ag_low,impossible,5
126,127,Il romanzo è stato terminato dall’autore.,af,AI,passive,low,af_ag_low,possible,6
127,128,L’autore è stato terminato dal romanzo.,af,AI,passive,low,af_ag_low,impossible,6
128,129,Lo scrittore ha completato il libro.,ag,AI,active,high,af_ag_high,possible,6
129,130,Il libro ha completato lo scrittore.,ag,AI,active,high,af_ag_high,impossible,6
130,131,Il libro è stato completato dallo scrittore.,ag,AI,passive,high,af_ag_high,possible,7
131,132,Lo scrittore è stato completato dal libro.,ag,AI,passive,high,af_ag_high,impossible,7
132,133,Il finanziatore ha sponsorizzato il progetto.,ah,AI,active,low,ah_ai_low,possible,6
133,134,Il progetto ha sponsorizzato il finanziatore.,ah,AI,active,low,ah_ai_low,impossible,6
134,135,Il progetto è stato sponsorizzato dal finanziatore.,ah,AI,passive,low,ah_ai_low,possible,7
135,136,Il finanziatore è stato sponsorizzato dal progetto.,ah,AI,passive,low,ah_ai_low,impossible,7
136,137,Il banchiere ha finanziato il programma.,ai,AI,active,high,ah_ai_high,possible,6
137,138,Il programma ha finanziato il banchiere.,ai,AI,active,high,ah_ai_high,impossible,6
138,139,Il programma è stato finanziato dal banchiere.,ai,AI,passive,high,ah_ai_high,possible,7
139,140,Il banchiere è stato finanziato dal programma.,ai,AI,passive,high,ah_ai_high,impossible,7
140,141,Il turista ha lasciato l’autobus.,aj,AI,active,low,aj_ak_low,possible,5
141,142,L’autobus ha lasciato il turista.,aj,AI,active,low,aj_ak_low,impossible,5
142,143,L’autobus è stato lasciato dal turista.,aj,AI,passive,low,aj_ak_low,possible,6
143,144,Il turista è stato lasciato dall’autobus.,aj,AI,passive,low,aj_ak_low,impossible,6
144,145,Il villeggiante ha abbandonato la navetta.,ak,AI,active,high,aj_ak_high,possible,6
145,146,La navetta ha abbandonato il villeggiante.,ak,AI,active,high,aj_ak_high,impossible,6
146,147,La navetta è stata abbandonata dal villeggiante.,ak,AI,passive,high,aj_ak_high,possible,7
147,148,Il villeggiante è stato abbandonato dalla navetta.,ak,AI,passive,high,aj_ak_high,impossible,7
148,149,La dietista detestava la confettura.,al,AI,active,low,al_am_low,possible,5
149,150,La confettura detestava la dietista.,al,AI,active,low,al_am_low,impossible,5
150,151,La confettura era detestata dalla dietista.,al,AI,passive,low,al_am_low,possible,6
151,152,La dietista era detestata dalla confettura.,al,AI,passive,low,al_am_low,impossible,6
152,153,La nutrizionista odiava la marmellata.,am,AI,active,high,al_am_high,possible,5
153,154,La marmellata odiava la nutrizionista.,am,AI,active,high,al_am_high,impossible,5
154,155,La marmellata era odiata dalla nutrizionista.,am,AI,passive,high,al_am_high,possible,6
155,156,La nutrizionista era odiata dalla marmellata.,am,AI,passive,high,al_am_high,impossible,6
156,157,Lo scienziato ha scoperto la cura.,an,AI,active,low,an_ao_low,possible,6
157,158,La cura ha scoperto lo scienziato.,an,AI,active,low,an_ao_low,impossible,6
158,159,La cura è stata scoperta dallo scienziato.,an,AI,passive,low,an_ao_low,possible,7
159,160,Lo scienziato è stato scoperto dalla cura.,an,AI,passive,low,an_ao_low,impossible,7
160,161,Il ricercatore ha trovato il rimedio.,ao,AI,active,high,an_ao_high,possible,6
161,162,Il rimedio ha trovato il ricercatore.,ao,AI,active,high,an_ao_high,impossible,6
162,163,Il rimedio è stato trovato dal ricercatore.,ao,AI,passive,high,an_ao_high,possible,7
163,164,Il ricercatore è stato trovato dal rimedio.,ao,AI,passive,high,an_ao_high,impossible,7
164,165,Il dottore ha chiuso la scuola.,ap,AI,active,,,possible,6
165,166,La scuola ha chiuso il dottore.,ap,AI,active,,,impossible,6
166,167,La scuola è stata chiusa dal dottore.,ap,AI,passive,,,possible,7
167,168,Il dottore è stato chiuso dalla scuola.,ap,AI,passive,,,impossible,7
168,169,La cameriera ha sollevato il cuscino.,aq,AI,active,,,possible,6
169,170,Il cuscino ha sollevato la cameriera.,aq,AI,active,,,impossible,6
170,171,Il cuscino è stato sollevato dalla cameriera.,aq,AI,passive,,,possible,7
171,172,La cameriera è stata sollevata dal cuscino.,aq,AI,passive,,,impossible,7
172,173,Il designer ha suggerito le tende.,ar,AI,active,high,ar_as_high,possible,6
173,174,Le tende hanno suggerito il designer.,ar,AI,active,high,ar_as_high,impossible,6
174,175,Le tende sono state suggerite dal designer.,ar,AI,passive,high,ar_as_high,possible,7
175,176,Il designer è stato suggerito dalle tende.,ar,AI,passive,high,ar_as_high,impossible,7
176,177,La decoratrice ha raccomandato le tende.,as,AI,active,low,ar_as_low,possible,6
177,178,Le tende hanno raccomandato la decoratrice.,as,AI,active,low,ar_as_low,impossible,6
178,179,Le tende sono state raccomandate dalla decoratrice.,as,AI,passive,low,ar_as_low,possible,7
179,180,La decoratrice è stata raccomandata dalle tende.,as,AI,passive,low,ar_as_low,impossible,7
180,181,Il costruttore ha lavato i pantaloni.,at,AI,active,high,at_au_high,possible,6
181,182,I pantaloni hanno lavato il costruttore.,at,AI,active,high,at_au_high,impossible,6
182,183,I pantaloni sono stati lavati dal costruttore.,at,AI,passive,high,at_au_high,possible,7
183,184,Il costruttore è stato lavato dai pantaloni.,at,AI,passive,high,at_au_high,impossible,7
184,185,L’appaltatore ha lavato i calzoni.,au,AI,active,low,at_au_low,possible,5
185,186,I calzoni hanno lavato l’appaltatore.,au,AI,active,low,at_au_low,impossible,5
186,187,I calzoni sono stati lavati dall’appaltatore.,au,AI,passive,low,at_au_low,possible,6
187,188,L’appaltatore è stato lavato dai calzoni.,au,AI,passive,low,at_au_low,impossible,6
188,189,Il domestico ha pulito il lavandino.,av,AI,active,high,av_aw_high,possible,6
189,190,Il lavandino ha pulito il domestico.,av,AI,active,high,av_aw_high,impossible,6
190,191,Il lavandino è stato pulito dal domestico.,av,AI,active,high,av_aw_high,possible,7
191,192,Il domestico è stato pulito dal lavandino.,av,AI,active,high,av_aw_high,impossible,7
192,193,Il collaboratore domestico ha sanificato il lavabo.,aw,AI,passive,low,av_aw_low,possible,7
193,194,Il lavabo ha sanificato il collaboratore domestico.,aw,AI,passive,low,av_aw_low,impossible,7
194,195,Il lavabo è stato sanificato dal collaboratore domestico.,aw,AI,passive,low,av_aw_low,possible,8
195,196,Il collaboratore domestico è stato sanificato dal lavabo.,aw,AI,passive,low,av_aw_low,impossible,8
196,197,L’amico ha indossato il maglione.,ay,AI,active,,,possible,5
197,198,Il maglione ha indossato l’amico.,ay,AI,active,,,impossible,5
198,199,Il maglione è stato indossato dall’amico.,ay,AI,passive,,,possible,6
199,200,L’amico è stato indossato dal maglione.,ay,AI,passive,,,impossible,6
200,201,Il convalescente ha ingerito la compressa.,az,AI,active,low,az_ba_low,possible,6
201,202,La compressa ha ingerito il convalescente.,az,AI,active,low,az_ba_low,impossible,6
202,203,La compressa è stata ingerita dal convalescente.,az,AI,passive,low,az_ba_low,possible,7
203,204,Il convalescente è stato ingerito dalla compressa.,az,AI,passive,low,az_ba_low,impossible,7
204,205,Il paziente ha ingoiato la medicina.,ba,AI,active,high,az_ba_high,possible,6
205,206,La medicina ha ingoiato il paziente.,ba,AI,active,high,az_ba_high,impossible,6
206,207,La medicina è stata ingoiata dal paziente.,ba,AI,passive,high,az_ba_high,possible,7
207,208,Il paziente è stato ingoiato dalla medicina.,ba,AI,passive,high,az_ba_high,impossible,7
208,209,Il ladro ha nascosto la refurtiva.,bb,AI,active,high,bb_bc_high,possible,6
209,210,La refurtiva ha nascosto il ladro.,bb,AI,active,high,bb_bc_high,impossible,6
210,211,La refurtiva è stata nascosta dal ladro.,bb,AI,passive,high,bb_bc_high,possible,7
211,212,Il ladro è stato nascosto dalla refurtiva.,bb,AI,passive,high,bb_bc_high,impossible,7
212,213,Il manigoldo ha occultato il bottino,bc,AI,active,low,bb_bc_low,possible,6
213,214,Il bottino ha occultato il manigoldo.,bc,AI,active,low,bb_bc_low,impossible,6
214,215,Il bottino è stato occultato dal manigoldo.,bc,AI,passive,low,bb_bc_low,possible,7
215,216,Il manigoldo è stato occultato dal bottino.,bc,AI,passive,low,bb_bc_low,impossible,7
216,217,Il cronista ha abbandonato la storia.,bd,AI,active,low,bd_be_low,possible,6
217,218,La storia ha abbandonato il cronista.,bd,AI,active,low,bd_be_low,impossible,6
218,219,La storia è stata abbandonata dal cronista.,bd,AI,passive,low,bd_be_low,possible,7
219,220,Il cronista è stato abbandonato dalla storia.,bd,AI,passive,low,bd_be_low,impossible,7
220,221,Il giornalista ha mollato l’articolo.,be,AI,active,high,bd_be_high,possible,5
221,222,L’articolo ha mollato il giornalista.,be,AI,active,high,bd_be_high,impossible,5
222,223,L’articolo è stato mollato dal giornalista.,be,AI,passive,high,bd_be_high,possible,6
223,224,Il giornalista è stato mollato dall’articolo.,be,AI,passive,high,bd_be_high,impossible,6
224,225,Il carnivoro ha mangiato la bistecca.,bf,AI,active,low,bf_bg_low,possible,6
225,226,La bistecca ha mangiato il carnivoro.,bf,AI,active,low,bf_bg_low,impossible,6
226,227,La bistecca è stata mangiata dal carnivoro.,bf,AI,passive,low,bf_bg_low,possible,7
227,228,Il carnivoro è stato mangiato dalla bistecca.,bf,AI,passive,low,bf_bg_low,impossible,7
228,229,Il mangiatore di carne ha divorato il filetto.,bg,AI,active,high,bf_bg_high,possible,8
229,230,Il filetto ha divorato il mangiatore di carne.,bg,AI,active,high,bf_bg_high,impossible,8
230,231,Il filetto è stato divorato dal mangiatore di carne.,bg,AI,passive,high,bf_bg_high,possible,9
231,232,Il mangiatore di carne è stato divorato dal filetto.,bg,AI,passive,high,bf_bg_high,impossible,9
232,233,L’uomo ha bevuto la soda.,bh,AI,active,,,possible,5
233,234,La soda ha bevuto l’uomo.,bh,AI,active,,,impossible,5
234,235,La soda è stata bevuta dall’uomo.,bh,AI,passive,,,possible,6
235,236,L’uomo è stato bevuto dalla soda.,bh,AI,passive,,,impossible,6
236,237,L’insegnante ha comprato il portatile.,bi,AI,active,high,bi_bj_high,possible,5
237,238,Il portatile ha comprato l’insegnante.,bi,AI,active,high,bi_bj_high,impossible,5
238,239,Il portatile è stato comprato dall’insegnante.,bi,AI,passive,high,bi_bj_high,possible,6
239,240,L’insegnante è stato comprato dal portatile.,bi,AI,passive,high,bi_bj_high,impossible,6
240,241,Il docente ha acquistato il computer.,bj,AI,active,low,bi_bj_low,possible,6
241,242,Il computer ha acquistato il docente.,bj,AI,active,low,bi_bj_low,impossible,6
242,243,Il computer è stato acquistato dal docente.,bj,AI,passive,low,bi_bj_low,possible,7
243,244,Il docente è stato acquistato dal computer.,bj,AI,passive,low,bi_bj_low,impossible,7
244,245,La signora ha cucinato il pasto.,bk,AI,active,low,bk_bl_low,possible,6
245,246,Il pasto ha cucinato la signora.,bk,AI,active,low,bk_bl_low,impossible,6
246,247,Il pasto è stato cucinato dalla signora.,bk,AI,passive,low,bk_bl_low,possible,7
247,248,La signora è stata cucinata dal pasto.,bk,AI,passive,low,bk_bl_low,impossible,7
248,249,La donna ha preparato la cena.,bl,AI,active,high,bk_bl_high,possible,6
249,250,La cena ha preparato la donna.,bl,AI,active,high,bk_bl_high,impossible,6
250,251,La cena è stata preparata dalla donna.,bl,AI,passive,high,bk_bl_high,possible,7
251,252,La donna è stata preparata dalla cena.,bl,AI,passive,high,bk_bl_high,impossible,7
252,253,Il viaggiatore ha perso il souvenir.,bm,AI,active,high,bm_bn_high,possible,6
253,254,Il souvenir ha perso il viaggiatore.,bm,AI,active,high,bm_bn_high,impossible,6
254,255,Il souvenir è stato perso dal viaggiatore.,bm,AI,passive,high,bm_bn_high,possible,7
255,256,Il viaggiatore è stato perso dal souvenir.,bm,AI,passive,high,bm_bn_high,impossible,7
256,257,Il turista ha smarrito il ricordino.,bn,AI,active,low,bm_bn_low,possible,6
257,258,Il ricordino ha smarrito il turista.,bn,AI,active,low,bm_bn_low,impossible,6
258,259,Il ricordino è stato smarrito dal turista.,bn,AI,passive,low,bm_bn_low,possible,7
259,260,Il turista è stato smarrito dal ricordino.,bn,AI,passive,low,bm_bn_low,impossible,7
260,261,Il comico ha confermato il programma.,bo,AI,active,high,bo_bp_high,possible,6
261,262,Il programma ha confermato il comico.,bo,AI,active,high,bo_bp_high,impossible,6
262,263,Il programma è stato confermato dal comico.,bo,AI,passive,high,bo_bp_high,possible,7
263,264,Il comico è stato confermato dal programma.,bo,AI,passive,high,bo_bp_high,impossible,7
264,265,L’umorista ha verificato l'itinerario.,bp,AI,active,low,bo_bp_low,possible,4
265,266,L'itinerario ha verificato l’umorista.,bp,AI,active,low,bo_bp_low,impossible,4
266,267,L'itinerario è stato verificato dall’umorista.,bp,AI,passive,low,bo_bp_low,possible,5
267,268,L’umorista è stato verificato dall'itinerario.,bp,AI,passive,low,bo_bp_low,impossible,5
268,269,Il falegname ha sfogliato l’opuscolo.,bq,AI,active,,,possible,5
269,270,L’opuscolo ha sfogliato il falegname.,bq,AI,active,,,impossible,5
270,271,L’opuscolo è stato sfogliato dal falegname.,bq,AI,passive,,,possible,6
271,272,Il falegname è stato sfogliato dall’opuscolo.,bq,AI,passive,,,impossible,6
272,273,La guida ha raggiunto l’obiettivo.,br,AI,active,,,possible,5
273,274,L’obiettivo ha raggiunto la guida.,br,AI,active,,,impossible,5
274,275,L’obiettivo è stato raggiunto dalla guida.,br,AI,passive,,,possible,6
275,276,La guida è stata raggiunta dall’obiettivo.,br,AI,passive,,,impossible,6
276,277,Il cittadino ha fatto crescere il grano.,bs,AI,active,high,bs_bt_high,possible,7
277,278,Il grano ha fatto crescere il cittadino.,bs,AI,active,high,bs_bt_high,impossible,7
278,279,Il grano è stato fatto crescere dal cittadino.,bs,AI,passive,high,bs_bt_high,possible,8
279,280,Il cittadino è stato fatto crescere dal grano.,bs,AI,passive,high,bs_bt_high,impossible,8
280,281,Il paesano ha coltivato il raccolto.,bt,AI,active,low,bs_bt_low,possible,6
281,282,Il raccolto ha coltivato il paesano.,bt,AI,active,low,bs_bt_low,impossible,6
282,283,Il raccolto è stato coltivato dal paesano.,bt,AI,passive,low,bs_bt_low,possible,7
283,284,Il paesano è stato coltivato dal raccolto.,bt,AI,passive,low,bs_bt_low,impossible,7
284,285,Il mentore ha revisionato il manoscritto.,bu,AI,active,low,bu_bv_low,possible,6
285,286,Il manoscritto ha revisionato il mentore.,bu,AI,active,low,bu_bv_low,impossible,6
286,287,Il manoscritto è stato revisionato dal mentore.,bu,AI,passive,low,bu_bv_low,possible,7
287,288,Il mentore è stato revisionato dal manoscritto.,bu,AI,passive,low,bu_bv_low,impossible,7
288,289,Il professore ha modificato il saggio.,bv,AI,active,high,bu_bv_high,possible,6
289,290,Il saggio ha modificato il professore.,bv,AI,active,high,bu_bv_high,impossible,6
290,291,Il saggio è stato modificato dal professore.,bv,AI,passive,high,bu_bv_high,possible,7
291,292,Il professore è stato modificato dal saggio.,bv,AI,passive,high,bu_bv_high,impossible,7
292,293,Il contabile ha fatto il grafico.,bw,AI,active,high,bw_bx_high,possible,6
293,294,Il grafico ha fatto il contabile.,bw,AI,active,high,bw_bx_high,impossible,6
294,295,Il grafico è stato fatto dal contabile.,bw,AI,passive,high,bw_bx_high,possible,7
295,296,Il contabile è stato fatto dal grafico.,bw,AI,passive,high,bw_bx_high,impossible,7
296,297,Il ragioniere ha creato il diagramma.,bx,AI,active,low,bw_bx_low,possible,6
297,298,Il diagramma ha creato il ragioniere.,bx,AI,active,low,bw_bx_low,impossible,6
298,299,Il diagramma è stato creato dal ragioniere.,bx,AI,passive,low,bw_bx_low,possible,7
299,300,Il ragioniere è stato creato dal diagramma.,bx,AI,passive,low,bw_bx_low,impossible,7
300,301,Il boscaiolo ha abbattuto il pino.,by,AI,active,,,possible,6
301,302,Il pino ha abbattuto il boscaiolo.,by,AI,active,,,impossible,6
302,303,Il pino è stato abbattuto dal boscaiolo.,by,AI,passive,,,possible,7
303,304,Il boscaiolo è stato abbattuto dal pino.,by,AI,passive,,,impossible,7
304,305,Il magnate ha governato l’azienda.,bz,AI,active,low,bz_ca_low,possible,5
305,306,L’azienda ha governato il magnate.,bz,AI,active,low,bz_ca_low,impossible,5
306,307,L’azienda è stata governata dal magnate.,bz,AI,passive,low,bz_ca_low,possible,6
307,308,Il magnate è stato governato dall’azienda.,bz,AI,passive,low,bz_ca_low,impossible,6
308,309,Il dirigente ha gestito la società.,ca,AI,active,high,bz_ca_high,possible,6
309,310,La società ha gestito il dirigente.,ca,AI,active,high,bz_ca_high,impossible,6
310,311,La società è stata gestita dal dirigente.,ca,AI,passive,high,bz_ca_high,possible,7
311,312,Il dirigente è stato gestito dalla società.,ca,AI,passive,high,bz_ca_high,impossible,7
312,313,Il militante ha influenzato il voto.,cb,AI,active,high,cb_cc_high,possible,6
